Sites,Actinotaenium_cruciferum_(De_Bary)_Teiling,Actinotaenium_cucurbita_(Ralfs)_Teiling,Actinotaenium_silvae-nigrae_(Rabanus)_Kouwets_et_Coesel,Closterium_cf._abruptum_W._West,Closterium_angustatum_Ralfs,Closterium_attenuatum_Ralfs,Closterium_baillyanum_(Ralfs)_Br_b.,Closterium_calosporum_Wittr.,Closterium_costatum_Ralfs,Closterium_dianae_Ralfs,Closterium_directum_W._Archer,Closterium_gracile_Ralfs,Closterium_juncidum_Ralfs,Closterium_lineatum_Ralfs,Closterium_lunula_Ralfs,Closterium_cf._macilentum_Br_b.,Closterium_navicula_(Br_b.)_LÙtkem.,Closterium_parvulum_N_geli,Closterium_pronum_Br_b.,Closterium_setaceum_Ralfs,Closterium_striolatum_Ralfs,Cosmarium_amoenum_Ralfs,Cosmarium_angulosum_Br_b.,Cosmarium_blyttii_Wille,Cosmarium_contractum_Kirchn.,Cosmarium_difficile_LÙtkem.,Cosmarium_discrepans___astn__et_Kouwets,Cosmarium_goniodes_var._subturgidum_W._et_G._S._West,Cosmarium_margaritiferum_Ralfs,Cosmarium_messikommeri_Coesel,Cosmarium_obsoletum_(Hantzsch)_Reinsch,Cosmarium_ordinatum_(BÀrges.)_W._et_G_.S._West,Cosmarium_ornatum_Ralfs,Cosmarium_paragranatoides_Skuja,Cosmarium_prominulum_var._subundulatum_W._et_G._S._West,Cosmarium_pseudoornatum_B._Eichler_et_Gutw.,Cosmarium_pseudopyramidatum__P._Lundell,Cosmarium_cf._pseudoretusum_F._Ducell,Cosmarium_pyramidatum_Ralfs,Cosmarium_regnellii_Wille,Cosmarium_sphagnicolum_W._et_G._S._West,Cosmarium_tinctum_Ralfs,Cosmarium_sp._1,Cosmarium_sp._2_(smaller_C._contractum),Cosmarium_sp._3,Cylindrocystis_brebissonii_De_Bary,Cylindrocystis_crassa_De_Bary,Cylindrocystis_gracilis_I._Hirn,Euastrum_ansatum_Ralfs,Euastrum_binale_Ralfs,Euastrum_denticulatum_F._Gay,Euastrum_elegans_Ralfs,Euastrum_gayanum_De_Toni,Euastrum_humerosum_Ralfs,Euastrum_insigne_Ralfs,Euastrum_oblongum_Ralfs,Euastrum_pectinatum_Ralfs,Euastrum_pinnatum_Ralfs,Euastrum_verrucosum_Ralfs,Haplotaenium_minutum_(Ralfs)_Bando,Haplotaenium_rectum_(Delponte)_Bando,Mesotaenium_endlicherianum_N_geli,Micrasterias_jenneri_Ralfs,Micrasterias_oscitans_Ralfs,Micrasterias_rotata_Ralfs,Micrasterias_thomasiana_var._notata_(Nordstedt)_Gr_nblad,Micrasterias_truncata_Ralfs,Netrium_digitus_Itzigs._et_Rothe,Netrium_oblongum_(De_Bary)_LÙtkem.,Penium_cylindrus_Ralfs,Penium_spirostriolatum_J._Barker,Pleurotaenium_ehrenbergii_(Ralfs)_De_Bary,Staurastrum_aculeatum_Ralfs,Staurastrum_hirsutum_Ralfs,Staurastrum_hystrix_Ralfs,Staurastrum_inflexum_Br_b.,Staurastrum_micron_W._et_G._S._West,Staurastrum_minimum_Coesel,Staurastrum_polymorphum_Ralfs,Staurastrum_punctulatum_Ralfs,Staurastrum_scabrum_Ralfs,Staurastrum_simonyi_Heimerl,Staurastrum_teliferum_Ralfs,Staurastrum_tetracerum_Ralfs,Staurastrum_sp._1,Staurastrum_sp._2,Staurastrum_sp._3,Staurodesmus_dejectus_(Ralfs)_Teiling,Staurodesmus_extensus_(Borge)_Teiling,Staurodesmus_incus_(Br_b.)_Teiling,Tetmemorus_brebissonii_Ralfs,Tetmemorus_granulatus_Ralfs,Tetmemorus_laevis_Ralfs,Xanthidium_antilopaeum_var._laeve_Schmidle,Xanthidium_armatum_Ralfs
Swamp_1.1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1
Swamp_1.2,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1
Swamp_1.3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
Swamp_2.1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1
Swamp_2.2,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1
Swamp_2.3,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1
Swamp_3.1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Swamp_3.2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Swamp_3.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
NaCihadle_1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NaCihadle_1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
NaCihadle_1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
NaCihadle_2.1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
NaCihadle_2.2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
NaCihadle_2.3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
NaCihadle_3.1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
NaCihadle_3.2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NaCihadle_3.3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
