lat,long
-63.574417,-55.788809
-63.574433,-55.788756
-63.574466,-55.78869
-63.574449,-55.788652
-63.574457,-55.788731
-63.57444,-55.788803
-63.574436,-55.788845
-63.574493,-55.788725
-63.574549,-55.788554
-63.574541,-55.788737
-63.574484,-55.788764
-63.574506,-55.788769
-63.574493,-55.788796
-63.574469,-55.788812
-63.574475,-55.788861
-63.574492,-55.788857
-63.57451,-55.78887
-63.574518,-55.788912
-63.574504,-55.788829
-63.574517,-55.788792
-63.574528,-55.788783
-63.574559,-55.788791
-63.574584,-55.788724
-63.574551,-55.788843
-63.574548,-55.788896
-63.574571,-55.788869
-63.574562,-55.788922
-63.574574,-55.788922
-63.57459,-55.788922
-63.574619,-55.788817
-63.574637,-55.788715
-63.574642,-55.788753
-63.57469,-55.788802
-63.574694,-55.788846
-63.574676,-55.788826
-63.57467,-55.788866
-63.574673,-55.788902
-63.574662,-55.788962
-63.574678,-55.788998
-63.574662,-55.789026
-63.574641,-55.789022
-63.57465,-55.788958
-63.574638,-55.788939
-63.574618,-55.788916
-63.574622,-55.788975
-63.574611,-55.788971
-63.574606,-55.789016
-63.57462,-55.78904
-63.574636,-55.789105
-63.574655,-55.789164
-63.57461,-55.789147
-63.574535,-55.789251
-63.574531,-55.789108
-63.574518,-55.789058
-63.574503,-55.789024
-63.574508,-55.788972
-63.574489,-55.788963
-63.574485,-55.788914
-63.574511,-55.789176
-63.574496,-55.789475
-63.574495,-55.789522
-63.574473,-55.789472
-63.574451,-55.789528
-63.574653,-55.788653
-63.574633,-55.78862
-63.574636,-55.788577
-63.574662,-55.788606
-63.574721,-55.788579
-63.574683,-55.788535
-63.574675,-55.788496
-63.57465,-55.788509
-63.574676,-55.788443
-63.57469,-55.7884
-63.5747,-55.788344
-63.574691,-55.788307
-63.574669,-55.788313
-63.574724,-55.788421
-63.574414,-55.789264
-63.574438,-55.789096
-63.574454,-55.789054
-63.574449,-55.789037
-63.574432,-55.78903
-63.574433,-55.788952
-63.574415,-55.788993
-63.574397,-55.78897
-63.574382,-55.788833
-63.57436,-55.788849
-63.574347,-55.788807
-63.574411,-55.789049
-63.574383,-55.789081
-63.574367,-55.789094
-63.574322,-55.789064
-63.574312,-55.789014
-63.574318,-55.788975
-63.574306,-55.788829
-63.574341,-55.788847
-63.574362,-55.788898
-63.57437,-55.788943
-63.574396,-55.7889
-63.574376,-55.789033
-63.57437,-55.789
-63.574354,-55.78903
-63.574346,-55.788954
-63.574335,-55.788895
-63.574318,-55.788926
-63.574304,-55.788948
-63.574228,-55.789381
-63.574219,-55.789251
-63.574225,-55.789201
-63.574213,-55.789167
-63.574201,-55.788987
-63.574505,-55.788195
-63.574626,-55.788083
-63.574393,-55.78828
-63.57473,-55.787922
-63.574712,-55.787939
-63.574734,-55.787826
-63.57472,-55.787839
-63.574717,-55.787868
-63.574685,-55.787953
-63.574623,-55.787817
-63.57459,-55.787821
-63.574481,-55.788025
-63.574202,-55.788877
-63.574185,-55.788785
-63.574175,-55.788709
-63.574172,-55.78864
-63.574186,-55.788599
-63.574183,-55.788516
-63.574171,-55.788463
-63.574155,-55.788372
-63.574148,-55.788325
-63.574149,-55.78828
-63.574145,-55.788231
-63.574141,-55.788161
-63.574133,-55.788115
-63.574188,-55.788097
-63.574266,-55.788003
-63.574222,-55.787932
-63.574228,-55.787885
-63.574392,-55.787916
-63.574537,-55.787698
-63.574499,-55.787648
-63.574634,-55.787588
-63.574634,-55.787534
-63.574437,-55.787818
-63.574437,-55.787678
-63.574482,-55.787881
-63.574275,-55.787725
-63.57427,-55.787619
-63.574256,-55.78755
-63.574282,-55.787547
-63.574364,-55.787488
-63.574428,-55.78743
-63.574488,-55.787538
-63.574561,-55.787329
-63.574428,-55.787223
-63.574381,-55.787237
-63.57437,-55.787259
-63.574364,-55.787339
-63.57427,-55.78722
-63.574285,-55.787124
-63.574338,-55.787063
-63.574343,-55.78699
-63.574412,-55.787049
-63.574391,-55.787073
-63.57436,-55.787168
-63.574329,-55.787206
-63.574252,-55.787381
-63.574295,-55.787348
-63.574241,-55.787293
-63.574221,-55.787401
-63.574186,-55.787363
-63.574182,-55.787437
-63.574122,-55.788016
-63.574129,-55.78796
-63.574127,-55.7879
-63.574111,-55.787875
-63.574112,-55.787847
-63.574106,-55.787708
-63.574107,-55.78762
-63.574087,-55.787586
-63.574095,-55.787529
-63.574069,-55.787419
-63.574069,-55.78733
-63.574054,-55.787294
-63.574057,-55.78725
-63.57409,-55.787794
-63.574092,-55.787746
-63.574224,-55.787351
-63.574239,-55.787227
-63.574248,-55.787145
-63.574242,-55.787065
-63.574286,-55.786926
-63.574336,-55.786805
-63.574405,-55.786817
-63.57442,-55.786919
-63.574411,-55.787086
-63.57439,-55.787035
-63.574365,-55.787005
-63.574358,-55.787096
-63.57433,-55.787164
-63.574319,-55.78712
-63.574329,-55.787258
-63.57435,-55.78729
-63.574328,-55.787386
-63.574353,-55.787401
-63.574278,-55.787376
-63.574197,-55.787307
-63.574204,-55.787277
-63.574212,-55.787186
-63.574198,-55.787105
-63.574183,-55.787128
-63.574284,-55.787027
-63.5743,-55.787177
-63.574345,-55.787133
-63.574357,-55.787213
-63.574314,-55.787301
-63.574318,-55.787336
-63.574337,-55.787347
-63.574248,-55.787201
-63.574259,-55.787108
-63.57422,-55.787097
-63.574074,-55.787484
-63.574329,-55.786837
-63.57435,-55.786828
-63.574361,-55.787048
-63.574561,-55.787434
-63.574286,-55.78612
-63.574283,-55.786182
-63.574269,-55.786258
-63.574289,-55.786259
-63.574304,-55.786317
-63.57429,-55.786309
-63.574278,-55.786343
-63.574282,-55.786433
-63.574298,-55.786439
-63.574266,-55.786491
-63.574255,-55.78653
-63.574278,-55.786579
-63.574316,-55.786538
-63.57432,-55.786588
-63.574308,-55.78661
-63.574318,-55.786626
-63.574301,-55.78667
-63.574286,-55.786621
-63.574275,-55.786692
-63.574257,-55.786716
-63.574212,-55.786555
-63.574124,-55.786627
-63.574129,-55.786467
-63.574146,-55.786671
-63.574193,-55.786796
-63.574203,-55.786824
-63.574221,-55.786799
-63.574235,-55.786823
-63.574272,-55.786857
-63.574308,-55.786807
-63.57432,-55.786673
-63.574358,-55.786681
-63.574385,-55.78667
-63.574355,-55.786637
-63.574234,-55.786901
-63.574245,-55.786895
-63.574219,-55.786948
-63.574177,-55.786974
-63.574169,-55.787032
-63.574037,-55.787148
-63.574063,-55.787116
-63.574064,-55.787066
-63.57403,-55.786985
-63.574015,-55.786899
-63.573984,-55.786928
-63.573998,-55.786773
-63.573993,-55.78672
-63.574287,-55.786834
-63.574293,-55.786742
-63.57428,-55.78716
-63.574265,-55.787156
-63.574277,-55.787072
-63.574258,-55.787051
-63.574314,-55.787075
-63.57424,-55.786639
-63.574258,-55.786621
-63.574256,-55.786657
-63.573973,-55.786372
-63.573938,-55.786438
-63.573952,-55.786121
-63.573792,-55.784885
-63.573744,-55.784816
-63.573751,-55.784982
-63.573755,-55.785069
-63.57377,-55.785205
-63.573791,-55.785251
-63.573796,-55.785349
-63.573816,-55.785304
-63.573819,-55.785343
-63.573827,-55.785478
-63.573789,-55.784932
-63.573635,-55.784057
-63.573622,-55.784119
-63.573619,-55.784162
-63.573628,-55.784324
-63.573627,-55.783813
-63.573576,-55.783826
-63.57359,-55.783983
-63.573575,-55.784044
-63.573519,-55.783686
-63.573537,-55.783641
-63.573549,-55.783624
-63.573578,-55.783555
-63.573586,-55.78348
-63.573568,-55.783487
-63.573549,-55.783448
-63.573568,-55.783361
-63.573526,-55.783361
-63.57356,-55.783262
-63.573548,-55.783216
-63.573549,-55.783168
-63.573519,-55.783286
-63.573528,-55.783217
-63.573512,-55.783229
-63.573502,-55.783141
-63.573529,-55.783102
-63.573479,-55.783196
-63.57348,-55.783147
-63.573471,-55.783077
-63.573502,-55.783051
-63.573515,-55.783025
-63.573432,-55.783253
-63.573447,-55.783288
-63.573453,-55.783327
-63.573445,-55.783376
-63.573457,-55.783376
-63.573463,-55.783408
-63.573466,-55.783451
-63.573484,-55.783531
-63.573502,-55.78357
-63.573505,-55.783608
-63.573498,-55.783424
-63.573526,-55.783417
-63.573523,-55.783444
-63.573527,-55.783476
-63.573533,-55.783512
-63.573542,-55.783542
-63.573429,-55.782944
-63.573476,-55.782841
-63.573469,-55.782752
-63.573471,-55.782704
-63.573436,-55.78267
-63.57341,-55.782555
-63.573421,-55.782533
-63.573393,-55.782534
-63.573377,-55.782571
-63.573394,-55.782617
-63.573415,-55.782652
-63.573387,-55.782666
-63.573397,-55.782719
-63.573422,-55.782726
-63.57344,-55.782739
-63.573411,-55.78277
-63.573429,-55.782781
-63.573414,-55.782807
-63.573424,-55.782863
-63.573425,-55.782907
-63.573385,-55.782948
-63.573399,-55.783017
-63.57341,-55.783067
-63.573416,-55.783118
-63.573364,-55.782905
-63.57337,-55.782861
-63.573352,-55.782845
-63.573359,-55.782796
-63.573359,-55.782731
-63.573338,-55.782744
-63.573339,-55.782793
-63.573345,-55.782673
-63.573339,-55.782623
-63.573362,-55.782635
-63.573343,-55.782541
-63.573325,-55.782506
-63.573363,-55.78252
-63.573371,-55.782495
-63.573402,-55.782436
-63.573408,-55.782477
-63.573385,-55.782427
-63.573386,-55.782369
-63.573362,-55.782364
-63.573373,-55.782412
-63.573342,-55.782395
-63.573357,-55.782461
-63.573372,-55.782271
-63.573382,-55.782188
-63.573398,-55.782122
-63.573357,-55.782194
-63.573325,-55.782203
-63.573304,-55.782278
-63.573461,-55.781895
-63.573389,-55.781954
-63.573347,-55.781971
-63.578089,-55.770551
-63.578037,-55.770455
-63.578234,-55.770982
-63.578212,-55.770655
-63.578253,-55.770492
-63.57814,-55.770473
-63.578142,-55.770605
-63.578134,-55.770699
-63.577985,-55.770616
-63.5779,-55.770492
-63.577932,-55.770414
-63.577829,-55.770484
-63.57785,-55.770609
-63.577794,-55.770641
-63.577818,-55.770644
-63.577853,-55.770667
-63.577872,-55.770632
-63.577909,-55.770651
-63.577905,-55.770601
-63.577891,-55.770677
-63.577929,-55.770664
-63.577929,-55.770604
-63.577942,-55.770531
-63.577944,-55.770487
-63.578035,-55.770628
-63.578023,-55.770603
-63.57806,-55.770605
-63.578046,-55.77056
-63.578067,-55.770554
-63.578033,-55.770684
-63.578055,-55.770663
-63.578077,-55.770616
-63.57807,-55.770705
-63.578088,-55.770709
-63.578105,-55.77069
-63.5781,-55.770645
-63.578115,-55.770593
-63.578115,-55.770534
-63.578134,-55.770529
-63.578161,-55.770542
-63.578171,-55.770501
-63.57819,-55.770487
-63.578173,-55.770461
-63.578163,-55.770633
-63.578178,-55.770607
-63.578164,-55.770678
-63.578165,-55.770753
-63.57804,-55.770504
-63.578003,-55.770415
-63.578026,-55.77041
-63.57799,-55.770451
-63.577961,-55.770593
-63.577989,-55.770704
-63.577853,-55.770478
-63.577855,-55.770525
-63.577869,-55.770571
-63.577889,-55.77054
-63.577901,-55.770543
-63.577888,-55.770407
-63.577907,-55.77038
-63.57792,-55.770357
-63.577923,-55.770384
-63.577786,-55.770524
-63.577749,-55.770574
-63.578231,-55.770936
-63.578378,-55.770932
-63.578351,-55.770907
-63.578352,-55.770846
-63.578404,-55.770771
-63.578372,-55.770744
-63.578388,-55.770628
-63.578391,-55.770577
-63.578382,-55.770844
-63.578107,-55.770461
-63.578048,-55.770425
-63.578067,-55.770481
-63.577795,-55.770483
-63.577825,-55.770434
-63.577856,-55.770358
-63.577879,-55.770377
-63.577958,-55.770412
-63.577978,-55.770526
-63.577988,-55.770505
-63.578011,-55.770545
-63.578242,-55.770537
-63.578223,-55.770531
-63.578097,-55.770423
-63.57812,-55.770426
-63.578086,-55.770499
-63.578079,-55.770444
-63.578056,-55.770458
-63.577922,-55.770468
-63.577983,-55.770416
-63.57797,-55.770378
-63.577939,-55.770365
-63.577769,-55.770556
-63.577811,-55.77049
-63.577843,-55.770457
-63.577846,-55.770417
-63.578007,-55.770501
-63.578006,-55.770455
-63.577965,-55.770455
-63.577962,-55.77056
-63.578155,-55.770573
-63.578132,-55.770662
-63.578153,-55.770699
-63.578387,-55.770803
-63.578379,-55.770686
-63.578563,-55.770746
-63.578585,-55.770735
-63.578601,-55.770661
-63.578406,-55.770574
-63.578424,-55.770586
-63.57844,-55.770592
-63.578736,-55.770975
-63.578744,-55.770801
-63.578724,-55.770758
-63.578815,-55.770736
-63.578822,-55.770926
-63.578897,-55.771084
-63.578922,-55.771065
-63.578936,-55.771049
-63.578956,-55.771007
-63.578971,-55.77098
-63.57896,-55.770856
-63.578909,-55.770865
-63.578906,-55.770825
-63.579028,-55.771023
-63.579035,-55.771071
-63.578883,-55.771196
-63.578791,-55.77106
-63.578767,-55.77105
-63.578783,-55.770941
-63.578841,-55.770878
-63.578792,-55.770808
-63.578771,-55.770777
-63.578755,-55.770746
-63.578745,-55.770704
-63.578572,-55.770664
-63.57858,-55.77063
-63.57859,-55.770686
-63.578557,-55.770794
-63.57858,-55.770815
-63.578556,-55.770838
-63.578814,-55.770799
-63.57879,-55.771005
-63.578807,-55.770932
-63.578709,-55.770957
-63.578718,-55.770924
-63.578735,-55.770905
-63.57871,-55.7707
-63.578791,-55.770746
-63.578897,-55.771128
-63.579002,-55.770835
-63.579022,-55.770849
-63.579051,-55.770857
-63.579043,-55.770891
-63.579033,-55.770919
-63.57907,-55.770897
-63.579066,-55.770957
-63.579075,-55.77094
-63.579095,-55.770934
-63.5791,-55.770962
-63.579086,-55.770999
-63.579121,-55.770962
-63.579142,-55.770958
-63.57914,-55.771002
-63.579117,-55.770998
-63.579101,-55.771002
-63.579118,-55.771056
-63.579141,-55.771049
-63.579161,-55.770998
-63.579175,-55.770963
-63.579181,-55.77101
-63.579201,-55.771
-63.579201,-55.771043
-63.579179,-55.771092
-63.579159,-55.771075
-63.579144,-55.771093
-63.579162,-55.771112
-63.579181,-55.771137
-63.5792,-55.771158
-63.579204,-55.771104
-63.579223,-55.771028
-63.579242,-55.770946
-63.579264,-55.771001
-63.57924,-55.771041
-63.579239,-55.771091
-63.579223,-55.771112
-63.579254,-55.771138
-63.579248,-55.771181
-63.579264,-55.771201
-63.579245,-55.771226
-63.579276,-55.771245
-63.57929,-55.771197
-63.57928,-55.771168
-63.579281,-55.77109
-63.579267,-55.771065
-63.57931,-55.771052
-63.579319,-55.771108
-63.579347,-55.771141
-63.579346,-55.771073
-63.579393,-55.771123
-63.579397,-55.771076
-63.579405,-55.771036
-63.579452,-55.771111
-63.579429,-55.771127
-63.579442,-55.771161
-63.579459,-55.771142
-63.579487,-55.771109
-63.57948,-55.771072
-63.579425,-55.771176
-63.579429,-55.7712
-63.579464,-55.771187
-63.579448,-55.771212
-63.57942,-55.771261
-63.57943,-55.771286
-63.579453,-55.771251
-63.579469,-55.771243
-63.57948,-55.77122
-63.579504,-55.771221
-63.579498,-55.771164
-63.579525,-55.771155
-63.579539,-55.771146
-63.579585,-55.771162
-63.579572,-55.771205
-63.579553,-55.771184
-63.579539,-55.771208
-63.579529,-55.771274
-63.57951,-55.771262
-63.579488,-55.771287
-63.579463,-55.771302
-63.579448,-55.771322
-63.579426,-55.771374
-63.579424,-55.771418
-63.579433,-55.771476
-63.579417,-55.771473
-63.579398,-55.771448
-63.579393,-55.771394
-63.579378,-55.771356
-63.579399,-55.77129
-63.579389,-55.771235
-63.579367,-55.771226
-63.57937,-55.771255
-63.579326,-55.771191
-63.579307,-55.771161
-63.579299,-55.771111
-63.579273,-55.771279
-63.57929,-55.771277
-63.579305,-55.771267
-63.579316,-55.771247
-63.579339,-55.771244
-63.579335,-55.771285
-63.579357,-55.771279
-63.57936,-55.771324
-63.579381,-55.771308
-63.579352,-55.771358
-63.579335,-55.77135
-63.57931,-55.771334
-63.579292,-55.771343
-63.579275,-55.771325
-63.579259,-55.771363
-63.579246,-55.771279
-63.579215,-55.771277
-63.5792,-55.771255
-63.579202,-55.771213
-63.57923,-55.771216
-63.579285,-55.771385
-63.579307,-55.771383
-63.579317,-55.771408
-63.579342,-55.77143
-63.579366,-55.77139
-63.579369,-55.77144
-63.579351,-55.771479
-63.57938,-55.771485
-63.579394,-55.771492
-63.579364,-55.771531
-63.579345,-55.771545
-63.579348,-55.771575
-63.579321,-55.771537
-63.579304,-55.771545
-63.579301,-55.771474
-63.579319,-55.771469
-63.579279,-55.771495
-63.579287,-55.771442
-63.579468,-55.771512
-63.579466,-55.77147
-63.579483,-55.771462
-63.57948,-55.771427
-63.579498,-55.771412
-63.579496,-55.771337
-63.57952,-55.77136
-63.579552,-55.771314
-63.57958,-55.771311
-63.579566,-55.771299
-63.579556,-55.771269
-63.579576,-55.771252
-63.579595,-55.771217
-63.579614,-55.771191
-63.579653,-55.771156
-63.579666,-55.771243
-63.579692,-55.771217
-63.5797,-55.7712
-63.579716,-55.771229
-63.579696,-55.771258
-63.579707,-55.771285
-63.579733,-55.77127
-63.57975,-55.771262
-63.579699,-55.771347
-63.579678,-55.771329
-63.57966,-55.771312
-63.579633,-55.771263
-63.579614,-55.771331
-63.579635,-55.771381
-63.579598,-55.771362
-63.579579,-55.771382
-63.579561,-55.77141
-63.579534,-55.771366
-63.579525,-55.771415
-63.579533,-55.771459
-63.579512,-55.771441
-63.579501,-55.771487
-63.57953,-55.771508
-63.579556,-55.77149
-63.579566,-55.771524
-63.579556,-55.771544
-63.579591,-55.771445
-63.579609,-55.771421
-63.579589,-55.771508
-63.579612,-55.771545
-63.579583,-55.77158
-63.579559,-55.771588
-63.579504,-55.771598
-63.579516,-55.771536
-63.579455,-55.771598
-63.579434,-55.77157
-63.57942,-55.771529
-63.579369,-55.771565
-63.579319,-55.771616
-63.579586,-55.771673
-63.579603,-55.771644
-63.579653,-55.771593
-63.57967,-55.771613
-63.579691,-55.77162
-63.579712,-55.771616
-63.57976,-55.771552
-63.579743,-55.77153
-63.579739,-55.771467
-63.579731,-55.77142
-63.579716,-55.771396
-63.579695,-55.771418
-63.579675,-55.771417
-63.579651,-55.771411
-63.579634,-55.77148
-63.579662,-55.771475
-63.579682,-55.771457
-63.579709,-55.771523
-63.579721,-55.771485
-63.579769,-55.77131
-63.579746,-55.771347
-63.579731,-55.77137
-63.579786,-55.771343
-63.579815,-55.771333
-63.579808,-55.771366
-63.579834,-55.771319
-63.579857,-55.771284
-63.579854,-55.771342
-63.579864,-55.77139
-63.579835,-55.771362
-63.57979,-55.771416
-63.579788,-55.771465
-63.579758,-55.771488
-63.579786,-55.771502
-63.579809,-55.771474
-63.5798,-55.771534
-63.579513,-55.771311
-63.579461,-55.771397
-63.579477,-55.771362
-63.579385,-55.77117
-63.579397,-55.77134
-63.579769,-55.771457
-63.57975,-55.771391
-63.579701,-55.771466
-63.579702,-55.77138
-63.579664,-55.771362
-63.579573,-55.771639
-63.57959,-55.771611
-63.579635,-55.771525
-63.579652,-55.77154
-63.579054,-55.771045
-63.57892,-55.770876
-63.579513,-55.771185
-63.579667,-55.771662
-63.579685,-55.771666
-63.579731,-55.771671
-63.579748,-55.771652
-63.579769,-55.771682
-63.579776,-55.771589
-63.579801,-55.771574
-63.579821,-55.77156
-63.579817,-55.771524
-63.579883,-55.77133
-63.579907,-55.771311
-63.579917,-55.771343
-63.579902,-55.771407
-63.579885,-55.771421
-63.579918,-55.771396
-63.579961,-55.771392
-63.579982,-55.771373
-63.580006,-55.7714
-63.580027,-55.771367
-63.579969,-55.771431
-63.579955,-55.771436
-63.579932,-55.771458
-63.579935,-55.771413
-63.579912,-55.771489
-63.579875,-55.771559
-63.579862,-55.771581
-63.579843,-55.771616
-63.579863,-55.771649
-63.57989,-55.771501
-63.579873,-55.771455
-63.579853,-55.771439
-63.579861,-55.771495
-63.579845,-55.771523
-63.57985,-55.771552
-63.579921,-55.771541
-63.57989,-55.771552
-63.579874,-55.771622
-63.579897,-55.771626
-63.57992,-55.771591
-63.57992,-55.771662
-63.579953,-55.771521
-63.579986,-55.771496
-63.579992,-55.771442
-63.580021,-55.77146
-63.580037,-55.77142
-63.580073,-55.77141
-63.580057,-55.771466
-63.580031,-55.771519
-63.580003,-55.771514
-63.579944,-55.771601
-63.579963,-55.771593
-63.579693,-55.771744
-63.579706,-55.77175
-63.579684,-55.771787
-63.579672,-55.771797
-63.579637,-55.77178
-63.579624,-55.771709
-63.579615,-55.771771
-63.57971,-55.771832
-63.579756,-55.771781
-63.579772,-55.771763
-63.579769,-55.771811
-63.579781,-55.771789
-63.579802,-55.771748
-63.57982,-55.771761
-63.579843,-55.77173
-63.579858,-55.771766
-63.579822,-55.771824
-63.579797,-55.771815
-63.579174,-55.77128
-63.579746,-55.771705
-63.579731,-55.771749
-63.579708,-55.771685
-63.579727,-55.771712
-63.579662,-55.771748
-63.579617,-55.771617
-63.579633,-55.771425
-63.579572,-55.771349
-63.579942,-55.771672
-63.580102,-55.771585
-63.580089,-55.771457
-63.58017,-55.771794
-63.580127,-55.771788
-63.580075,-55.771858
-63.580086,-55.771922
-63.580098,-55.771987
-63.580112,-55.772038
-63.579964,-55.771814
-63.579912,-55.771777
-63.579879,-55.771781
-63.57985,-55.771819
-63.579877,-55.771934
-63.579908,-55.771887
-63.580027,-55.771577
-63.580132,-55.771533
-63.579972,-55.77167
-63.57998,-55.771608
-63.580058,-55.771639
-63.580036,-55.77161
-63.580054,-55.771576
-63.580047,-55.771521
-63.580071,-55.771512
-63.580077,-55.771556
-63.580092,-55.771499
-63.580112,-55.771457
-63.580125,-55.771481
-63.580139,-55.771502
-63.580163,-55.771482
-63.580176,-55.771522
-63.580186,-55.77156
-63.580198,-55.771585
-63.580137,-55.771587
-63.580141,-55.771641
-63.580165,-55.77161
-63.580169,-55.771659
-63.580182,-55.771635
-63.580203,-55.771638
-63.580222,-55.771642
-63.5802,-55.771733
-63.580203,-55.771787
-63.580211,-55.77182
-63.580229,-55.771698
-63.580219,-55.771732
-63.580216,-55.771768
-63.580228,-55.771803
-63.580236,-55.771741
-63.580087,-55.771717
-63.580068,-55.771664
-63.580107,-55.771668
-63.58013,-55.771689
-63.580104,-55.771732
-63.580093,-55.771774
-63.580091,-55.771846
-63.580109,-55.771878
-63.580111,-55.771922
-63.580177,-55.771853
-63.58017,-55.771876
-63.580177,-55.771909
-63.580144,-55.771844
-63.580141,-55.77189
-63.580144,-55.771923
-63.580156,-55.771958
-63.580139,-55.771975
-63.580195,-55.771963
-63.580169,-55.77195
-63.580163,-55.771761
-63.580176,-55.771704
-63.580126,-55.771639
-63.580121,-55.771571
-63.580092,-55.771635
-63.580045,-55.771759
-63.580076,-55.771763
-63.580018,-55.771688
-63.580041,-55.771696
-63.58001,-55.771624
-63.579996,-55.771671
-63.579967,-55.771765
-63.579975,-55.771718
-63.57993,-55.771809
-63.579912,-55.771835
-63.57989,-55.771829
-63.57987,-55.771828
-63.579857,-55.771981
-63.579862,-55.771954
-63.579991,-55.772009
-63.579972,-55.772019
-63.579951,-55.771984
-63.579931,-55.771962
-63.579918,-55.77194
-63.579895,-55.771954
-63.579974,-55.771887
-63.579994,-55.771857
-63.580011,-55.771845
-63.580005,-55.771792
-63.580042,-55.771812
-63.580056,-55.771853
-63.580056,-55.771952
-63.580048,-55.771908
-63.58002,-55.771976
-63.580035,-55.772003
-63.580025,-55.772088
-63.580048,-55.772059
-63.580057,-55.772037
-63.580081,-55.772075
-63.580091,-55.772063
-63.580004,-55.772104
-63.579991,-55.77214
-63.579933,-55.772021
-63.579996,-55.771884
-63.579977,-55.771842
-63.579999,-55.771937
-63.580196,-55.77204
-63.580175,-55.772016
-63.580161,-55.772016
-63.58019,-55.772103
-63.58021,-55.772098
-63.580212,-55.772163
-63.580222,-55.77196
-63.580226,-55.77192
-63.580229,-55.771884
-63.580248,-55.771817
-63.580271,-55.77182
-63.580264,-55.771783
-63.580254,-55.771751
-63.580287,-55.771851
-63.580263,-55.771882
-63.58025,-55.771933
-63.580267,-55.771998
-63.580272,-55.772031
-63.580257,-55.772057
-63.580239,-55.77207
-63.580246,-55.772033
-63.580256,-55.772107
-63.580245,-55.772157
-63.58027,-55.772178
-63.580301,-55.772075
-63.580275,-55.77208
-63.580304,-55.772001
-63.580302,-55.771966
-63.580291,-55.771901
-63.58032,-55.772048
-63.580348,-55.772088
-63.579996,-55.77154
-63.579839,-55.771905
-63.579951,-55.77184
-63.580478,-55.771974
-63.580323,-55.771862
-63.580295,-55.771792
-63.580281,-55.771785
-63.580289,-55.771723
-63.580267,-55.771715
-63.580265,-55.771675
-63.580247,-55.771658
-63.580249,-55.771711
-63.580318,-55.77192
-63.580305,-55.771881
-63.580315,-55.771743
-63.580329,-55.771738
-63.580315,-55.771689
-63.580337,-55.771696
-63.580323,-55.771651
-63.580337,-55.771631
-63.5803,-55.77163
-63.580265,-55.771608
-63.580352,-55.771662
-63.580368,-55.771614
-63.580391,-55.771639
-63.580415,-55.77164
-63.580374,-55.771669
-63.580381,-55.771745
-63.580373,-55.771805
-63.580393,-55.771784
-63.58042,-55.771783
-63.580407,-55.771803
-63.580368,-55.771837
-63.580341,-55.771832
-63.580324,-55.771807
-63.58036,-55.771768
-63.580363,-55.771726
-63.580452,-55.771688
-63.580461,-55.771712
-63.580481,-55.771728
-63.580498,-55.771707
-63.580492,-55.77177
-63.580515,-55.771767
-63.580472,-55.771758
-63.580494,-55.771821
-63.58051,-55.771862
-63.580511,-55.771948
-63.580521,-55.772018
-63.580538,-55.772064
-63.580555,-55.772051
-63.580567,-55.772133
-63.58053,-55.772171
-63.580511,-55.772118
-63.5805,-55.772095
-63.580484,-55.772129
-63.580473,-55.772111
-63.580448,-55.772099
-63.580392,-55.77208
-63.580395,-55.772016
-63.580393,-55.771975
-63.58036,-55.77196
-63.580337,-55.771919
-63.580331,-55.771954
-63.580325,-55.77199
-63.580388,-55.771901
